Airline,Origin,Inbound Flights,Inbound Passengers,Outbound Flights,Outbound Passengers,Total Flights,Total Passengers
Air Caledonie International,Oceania,156,12404,159,12654,315,25058
Air Canada,North America,191,31337,189,33380,380,64717
Air Chathams,Oceania,4,75,4,79,8,154
Air India,Asia,313,74194,312,57366,625,131560
Air New Zealand,Oceania,2157,286558,2165,271107,4322,557665
Air Niugini,Oceania,437,21264,450,18489,887,39753
Air Vanuatu,Oceania,59,2850,43,1907,102,4757
AirAsia X,Asia,191,350,169,125,360,475
All Nippon Airways,Asia,233,16521,233,19130,466,35651
American Airlines,North America,157,11218,157,11991,314,23209
Asiana Airlines,Asia,84,12362,84,14552,168,26914
Bamboo Airways,Asia,40,7227,40,8445,80,15672
British Airways,Europe,96,16145,94,17027,190,33172
Cathay Pacific Airways,Asia,1465,33011,1427,26745,2892,59756
China Airlines,Asia,940,5809,937,4383,1877,10192
China Eastern Airlines,Asia,434,4606,414,13219,848,17825
China Southern Airlines,Asia,908,11418,887,19666,1795,31084
Delta Air Lines,North America,367,33811,363,35077,730,68888
Emirates,Asia,1765,331340,1717,393447,3482,724787
Etihad Airways,Asia,561,92164,561,105233,1122,197397
Eva Air,Asia,270,1124,269,1110,539,2234
Fiji Airways,Oceania,924,127139,923,129622,1847,256761
Garuda Indonesia,Asia,95,8580,94,9710,189,18290
Hawaiian Airlines,North America,134,18370,134,23753,268,42123
Indonesia AirAsia,Asia,25,2914,25,4018,50,6932
Japan Airlines,Asia,441,14974,440,13286,881,28260
Jetstar,Oceania,1300,202245,1296,232106,2596,434351
Jetstar Asia,Asia,92,6470,90,5449,182,11919
Korean Air,Asia,101,12878,101,12200,202,25078
LATAM Airlines,South America,44,9049,44,8453,88,17502
Malaysia Airlines,Asia,1521,72562,1446,62903,2967,135465
Malindo Air,Asia,41,2866,39,4508,80,7374
Nauru Airlines,Oceania,174,1253,178,1134,352,2387
Philippine Airlines,Asia,245,25429,250,27909,495,53338
Qantas Airways,Oceania,4802,531444,4802,529191,9604,1060635
Qatar Airways,Asia,1546,235137,1539,266544,3085,501681
Royal Brunei Airlines,Asia,103,1129,102,1408,205,2537
Scoot Tigerair,Asia,1266,123223,1246,117213,2512,240436
Singapore Airlines,Asia,4735,571856,4707,543178,9442,1115034
Solomon Airlines,Oceania,66,3450,70,1945,136,5395
SriLankan Airlines,Asia,402,74276,403,70721,805,144997
Thai Airways International,Asia,361,54357,362,55356,723,109713
United Airlines,North America,759,66400,760,75304,1519,141704
Vietnam Airlines,Asia,323,27245,324,28350,647,55595
Virgin Australia,Oceania,207,20450,212,25665,419,46115
Xiamen Airlines,Asia,161,13704,161,16075,322,29779
